	(	)	*	+	,	-	/	2	3	;	<	=	>	#	a	f	h	k	m	r	v	w	y	z	{	}		A	B	C	D	E	F	G	H	I	N	Q	R	S	T	W	X	Y
0															S1		S2				S3		S4	S5				6	7															
1								r3											r3																									
2								r6											r6																									
3								r7											r7																									
4								r5											r5																									
5								r4											r4																									
6														acc																														
7								S8											S9											10														
8	r9																																											
9	r8																																											
10	S11																																											
11		S12																																										
12																									S13																			
13								S14							S15	S16	S17			r18		S18	S19	S20		r18					21	22									23	24	25	
14												S26																																
15								r10																																				
16	S27																																											
17								r13																																				
18	S28																																											
19								r12																																				
20								r11																																				
21								S29																													30							
22																				S31						r24													32					
23								S14							S15	S16	S17			r18		S18	S19	S20		r18					21	33									23	24	25	
24								S14							S15	S16	S17			r18		S18	S19	S20		r18					21	34									23	24	25	
25								S14							S15	S16	S17			r18		S18	S19	S20		r18					21	35									23	24	25	
26								S36	S37																																			38
27								S39		r30																							40		41									
28								S42	S43																																			44
29					S45					r21		r21																																
30										S46		S47																																
31									S48																																			
32																										S49																		
33																				r17						r17																		
34																				r15						r15																		
35																				r16						r16																		
36			r34	r34		r34	r34			r34																																		
37			r35	r35		r35	r35			r35																																		
38			S50	S51		S52	S53			S54																												55						
39												S56																																
40		S57																																										
41										S58																																		
42		r34																																										
43		r35																																										
44		S59																																										
45								S29																													60							
46								r19							r19	r19	r19			r19		r19	r19	r19		r19																		
47								S61	S62																																			63
48										S64																																		
49														r1																														
50								r38	r38																																			
51								r36	r36																																			
52								r37	r37																																			
53								r39	r39																																			
54								r33							r33	r33	r33			r33		r33	r33	r33		r33																		
55								S61	S62																																			65
56								S36	S37																																			66
57																									S67																			
58								S68	S69									S70																		71								72
59																									S73																			
60										r22		r22																																
61										r34																																		
62										r35																																		
63										S74																																		
64																										r23																		
65										S75																																		
66			S50	S51		S52	S53			r29																												76						
67								S77							S15	S78	S17					S79	S19	S20		r18					80	81									82	83	84	
68											r34		r34																															
69											r35		r35																															
70										r2																																		
71										S85																																		
72											S86		S87		S1		S2				S3		S4	S5				88	89											90				
73								S77							S15	S78	S17					S79	S19	S20		r18					80	91									82	83	84	
74								r20							r20	r20	r20			r20		r20	r20	r20		r20																		
75								r32							r32	r32	r32			r32		r32	r32	r32		r32																		
76								S61	S62																																			92
77												S93																																
78	S94																																											
79	S95																																											
80								S29																													96							
81																										S97																		
82								S77							S15	S78	S17					S79	S19	S20		r18					80	98									82	83	84	
83								S77							S15	S78	S17					S79	S19	S20		r18					80	99									82	83	84	
84								S77							S15	S78	S17					S79	S19	S20		r18					80	100									82	83	84	
85		r30						S101																											102									
86								r41	r41			S103																																
87								r40	r40			S104																																
88								acc	acc																																			
89								S8											S9											105														
90								S61	S62																																			106
91																										S107																		
92										r28																																		
93								S36	S37																																			108
94								S39		r30																							109		41									
95								S42	S43																																			110
96										S111		S112																																
97								r26							r26	r26	r26			r26		r26	r26	r26		r26																		
98																										r17																		
99																										r15																		
100																										r16																		
101												S113																																
102		r27																																										
103								r43	r43																																			
104								r42	r42																																			
105	S114																																											
106										r31																																		
107								r25							r25	r25	r25			r25		r25	r25	r25		r25																		
108			S50	S51		S52	S53			S115																												116						
109		S117																																										
110		S118																																										
111								r19							r19	r19	r19					r19	r19	r19		r19																		
112								S61	S62																																			119
113								S120	S121																																			122
114		S123																																										
115								r33							r33	r33	r33					r33	r33	r33		r33																		
116								S61	S62																																			124
117																									S125																			
118																									S126																			
119										S127																																		
120		r34	r34	r34		r34	r34																																					
121		r35	r35	r35		r35	r35																																					
122		r29	S50	S51		S52	S53																															128						
123																									S129																			
124										S130																																		
125								S77							S15	S78	S17					S79	S19	S20		r18					80	131									82	83	84	
126								S77							S15	S78	S17					S79	S19	S20		r18					80	132									82	83	84	
127								r20							r20	r20	r20					r20	r20	r20		r20																		
128								S42	S43																																			133
129								S14							S15	S16	S17			r18		S18	S19	S20		r18					21	134									23	24	25	
130								r32							r32	r32	r32					r32	r32	r32		r32																		
131																										S135																		
132																										S136																		
133		r28																																										
134																				S31						r24													137					
135								r26							r26	r26	r26					r26	r26	r26		r26																		
136								r25							r25	r25	r25					r25	r25	r25		r25																		
137																										S138																		
138								r1	r1																																			
