·ûºÅÕ»                               ×´Ì¬Õ»                                                                                       ÊäÈë´®                                                                          ACTION         GOTO      
#                                    0,                                                                                          hm(){h2=3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#S2
#h                                   0,2,                                                                                        m(){h2=3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#r6              7
#B                                   0,7,                                                                                        m(){h2=3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#S9
#Bm                                  0,7,9,                                                                                      (){h2=3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#r8              10
#BC                                  0,7,10,                                                                                     (){h2=3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#S11
#BC(                                 0,7,10,11,                                                                                  ){h2=3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#S12
#BC()                                0,7,10,11,12,                                                                               {h2=3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#S13
#BC(){                               0,7,10,11,12,13,                                                                            h2=3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#S17
#BC(){h                              0,7,10,11,12,13,17,                                                                         2=3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#r13              21
#BC(){D                              0,7,10,11,12,13,21,                                                                         2=3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#S29
#BC(){D2                             0,7,10,11,12,13,21,29,                                                                      =3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#r21              30
#BC(){DN                             0,7,10,11,12,13,21,30,                                                                      =3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#S47
#BC(){DN=                            0,7,10,11,12,13,21,30,47,                                                                   3;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#S62
#BC(){DN=3                           0,7,10,11,12,13,21,30,47,62,                                                                ;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#r35              63
#BC(){DN=Y                           0,7,10,11,12,13,21,30,47,63,                                                                ;2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#S74
#BC(){DN=Y;                          0,7,10,11,12,13,21,30,47,63,74,                                                             2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#r20              23
#BC(){T                              0,7,10,11,12,13,23,                                                                         2=3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#S14
#BC(){T2                             0,7,10,11,12,13,23,14,                                                                      =3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}# S26
#BC(){T2=                            0,7,10,11,12,13,23,14,26,                                                                   3;2=3;2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#  S37
